Event_ID,ig_year,lat,lon,incid_name,incid_type,burn_ac,severity_ndvi,valid_burn,recovery_Rlast,recovery_slope,y2r,gedi_rh98_last,sar_vh_last,phase,structure_class,ig_year_source,optical_source,structure_source,label_method
CA3895812085620160628,2016,38.963,-120.83,TRAILHEAD,Wildfire,5743.0,0.2075,1,0.6476,0.0764,3.0,23.35,-15.26,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3710912184820160926,2016,37.116,-121.818,LOMA,Wildfire,4380.0,0.2209,1,0.9169,0.1036,3.0,13.92,-15.45,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3646112190120160722,2016,36.324,-121.699,SOBERANES,Wildfire,131921.0,0.143,1,1.1885,0.134,2.0,13.09,-15.64,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4448812148120160607,2016,44.498,-121.45,0152 AKAWANA OD,Wildfire,2113.0,0.2644,1,0.728,0.0632,6.0,4.48,-18.05,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4292412221220160728,2016,42.924,-122.195,BYBEE CREEK,Wildfire,1007.0,0.129,1,0.7271,0.081,2.0,4.89,-19.28,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4563012190420170902,2017,45.618,-121.942,EAGLE CREEK,Wildfire,48816.0,0.3125,1,0.4921,0.064,5.0,11.92,-16.42,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4540111652720170908,2017,45.414,-116.527,INDIAN RIDGE,Wildfire,2174.0,0.0836,1,0.7748,0.106,1.0,14.52,-16.85,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4554811595020170801,2017,45.538,-115.907,HANOVER,Wildfire,27927.0,0.1147,1,0.7894,0.1062,1.0,9.33,-15.51,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4601011688120170715,2017,46.015,-116.89,CORRAL CREEK,Wildfire,1877.0,0.0417,0,,,1.0,3.67,-21.23,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4560011651620170711,2017,45.593,-116.503,BUCK,Wildfire,1267.0,0.0462,0,,,1.0,4.52,-17.94,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4603611671720170715,2017,45.968,-116.803,POWERLINE,Wildfire,45449.0,0.0508,0,,,1.0,4.03,-19.36,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4443511721920170803,2017,44.426,-117.235,MORGAN CREEK,Wildfire,2329.0,0.0116,0,,,1.0,5.78,-19.94,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4253511698720170918,2017,42.512,-116.996,3 HL SOUTH MOUNTAIN FR69 POLECREEK RX,Prescribed Fire,5036.0,0.0417,0,,,1.0,0.25,-22.57,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4462111846220170616,2017,44.623,-118.464,UNNAMED,Prescribed Fire,2093.0,0.0411,0,,,1.0,11.37,-17.95,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4372111979120170504,2017,43.717,-119.778,UNNAMED,Prescribed Fire,2842.0,0.091,1,0.5562,0.0401,1.0,11.49,-18.08,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4119012308020171102,2017,41.312,-123.131,UNNAMED,Prescribed Fire,1333.0,0.0527,0,,,1.0,12.0,-14.08,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4305111881420170401,2017,43.055,-118.824,ORMAR FY17 RX DIAMOND SWAMP,Prescribed Fire,3512.0,-0.0564,0,,,1.0,2.7,-21.63,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4179612108320170813,2017,41.803,-121.077,UNNAMED,Prescribed Fire,5022.0,0.0025,0,,,1.0,0.83,-23.94,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3744911965020170829,2017,37.441,-119.613,RAILROAD,Wildfire,12765.0,0.2981,1,0.7902,0.108,5.0,10.93,-15.59,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3721711946920170903,2017,37.236,-119.466,MISSION,Wildfire,1006.0,0.2492,1,0.6235,0.0757,6.0,10.63,-16.13,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3753811959820170813,2017,37.568,-119.576,SOUTH FORK,Wildfire,8053.0,0.1923,1,0.4903,0.0733,6.0,17.56,-15.98,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3764411961820170801,2017,37.654,-119.588,EMPIRE,Wildfire,9685.0,0.1552,1,0.8044,0.1087,2.0,19.72,-16.67,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3837311989620170819,2017,38.38,-119.875,MCCORMICK,Wildfire,4390.0,0.29,1,0.5675,0.0892,8.0,2.86,-16.18,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
NV3882011959620171003,2017,38.829,-119.604,CUTTER,Wildfire,4065.0,0.0223,0,,,1.0,4.79,-19.57,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3761912020720170716,2017,37.55,-120.121,DETWILER,Wildfire,83297.0,0.1323,1,0.9069,0.093,2.0,3.54,-17.35,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3812011994120170904,2017,38.121,-119.948,CREEK,Wildfire,2150.0,0.0792,1,0.6626,0.1108,1.0,16.55,-16.14,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3606812023620170420,2017,36.061,-120.274,JAYNE,Wildfire,4676.0,-0.0001,0,,,1.0,3.92,-28.84,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4447912049720170909,2017,44.477,-120.463,DESOLATION 1135 PR,Wildfire,4083.0,0.1177,1,0.8178,0.1119,2.0,3.41,-17.53,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4130712105620170725,2017,41.279,-121.008,COVE,Wildfire,30884.0,0.1737,1,0.7403,0.1049,5.0,5.08,-18.77,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4146612032120170803,2017,41.464,-120.262,PARKER2,Wildfire,7648.0,0.1334,1,0.5691,0.0886,2.0,1.94,-18.52,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3990612097220170729,2017,39.903,-120.944,MINERVA 5,Wildfire,4545.0,0.228,1,0.3773,0.0589,6.0,24.26,-15.9,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3946112141320170707,2017,39.463,-121.406,WALL,Wildfire,6488.0,0.1781,1,0.6686,0.0563,2.0,7.42,-16.6,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3839112224120171009,2017,38.364,-122.237,ATLAS,Wildfire,51664.0,0.1375,1,0.5079,0.0547,2.0,6.77,-18.14,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3838712252020171009,2017,38.349,-122.503,NUNS,Wildfire,56883.0,0.138,1,0.544,0.0617,2.0,8.08,-17.0,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3957512131620170829,2017,39.578,-121.277,PONDEROSA,Wildfire,4264.0,0.3306,1,0.4714,0.0453,,10.45,-16.74,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4470812185620170724,2017,44.699,-121.875,WHITEWATER,Wildfire,11758.0,0.289,1,-0.1285,-0.0273,,5.05,-17.19,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4474912191520170811,2017,44.742,-121.926,SRZ LITTLE DEVIL,Wildfire,2304.0,0.2117,1,-0.3,-0.0491,,10.92,-17.19,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4400912217020170804,2017,44.003,-122.154,REBEL,Wildfire,9047.0,0.1152,1,0.1879,0.0118,1.0,31.99,-15.79,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4425712174320170811,2017,44.26,-121.688,MILLI 0843 CS,Wildfire,24074.0,0.2693,1,0.5768,0.0915,5.0,4.52,-18.12,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4410112190920170810,2017,44.129,-121.874,MR SEPARATION,Wildfire,25137.0,0.323,1,0.1493,0.0232,,5.78,-18.06,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4410112199420170810,2017,44.098,-122.005,MR RONEY,Wildfire,3646.0,0.089,1,0.0143,0.0043,1.0,27.73,-15.32,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4412912209720170811,2017,44.135,-122.098,AVENUE,Wildfire,4323.0,0.1362,1,0.0855,0.0069,1.0,19.15,-15.88,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4404612205520170810,2017,44.041,-122.058,MR 183  OLALLIE LOOKOUT,Wildfire,1843.0,0.1584,1,0.0751,0.0154,1.0,20.91,-16.08,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4279812231820170725,2017,42.772,-122.244,BLANKET CREEK,Wildfire,32767.0,0.2335,1,0.3632,0.0624,,12.51,-18.39,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4254212214420170810,2017,42.548,-122.147,NORTH PELICAN,Wildfire,3798.0,0.2176,1,0.1978,0.0468,,11.95,-17.07,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4298012228220170729,2017,42.992,-122.22,SPRUCE LAKE,Wildfire,16072.0,0.2438,1,0.2014,0.0404,,4.48,-19.48,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4311112241120170811,2017,43.122,-122.404,DL RATTLESNAKE MT,Wildfire,1255.0,0.1281,1,-0.0686,0.0034,1.0,28.34,-16.05,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4303712246520170809,2017,43.047,-122.447,TL PUP 316,Wildfire,8291.0,0.1681,1,0.2074,0.0305,3.0,20.63,-15.98,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4294112254720170808,2017,42.956,-122.577,BROKEN LOOKOUT,Wildfire,19152.0,0.2017,1,0.4414,0.0567,2.0,31.15,-15.61,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4309112272520170810,2017,43.089,-122.704,TL  UPPER ASH FLAT 327,Wildfire,1949.0,0.1259,1,0.673,0.0853,1.0,15.69,-15.66,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4318212230620170809,2017,43.176,-122.312,DL DOG PRAIRIE,Wildfire,1021.0,0.1353,1,-0.0041,0.013,1.0,18.04,-15.95,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4340212236220170810,2017,43.403,-122.38,STALEY,Wildfire,2318.0,0.2143,1,0.2801,0.039,3.0,13.12,-16.2,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4320912249720170811,2017,43.216,-122.504,DL BROKENTOOTH,Wildfire,5382.0,0.1593,1,0.2192,0.0358,1.0,16.33,-15.51,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4330612262220170812,2017,43.3,-122.574,HAPPY DOG,Wildfire,34241.0,0.132,1,0.3323,0.0423,1.0,14.09,-15.59,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4331112282720170810,2017,43.296,-122.838,FALL CREEK,Wildfire,4946.0,0.0996,1,-0.1661,-0.0232,1.0,10.46,-15.96,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4375212142520170829,2017,43.757,-121.402,MCKAY 1035 NE,Wildfire,1222.0,0.3187,1,0.6417,0.1124,6.0,4.16,-19.59,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4143512316220170626,2017,41.42,-123.131,ISLAND,Wildfire,62931.0,0.2212,1,0.6473,0.0921,5.0,12.93,-14.75,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4018412336320170808,2017,40.192,-123.348,DUTCHMAN,Wildfire,1601.0,0.179,1,0.3571,0.0439,3.0,9.65,-17.36,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4011512332020170808,2017,40.119,-123.299,WILLIE,Wildfire,3242.0,0.1036,1,0.064,-0.0184,1.0,9.06,-17.78,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4077112312420170831,2017,40.775,-123.062,HELENA,Wildfire,18709.0,0.1882,1,0.5581,0.0754,3.0,15.86,-15.12,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4083912297820170808,2017,40.845,-123.01,FORK,Wildfire,3325.0,0.2107,1,0.5738,0.083,3.0,20.89,-15.37,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4022812303620170913,2017,40.213,-123.027,BUCK,Wildfire,13612.0,0.1313,1,0.5004,0.0755,1.0,13.65,-15.56,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
WA4610611995920180908,2018,46.072,-119.924,GLADE CREEK,Wildfire,12796.0,0.0152,0,,,1.0,1.73,-27.4,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
WA4567012103420180801,2018,45.681,-120.937,MILEPOST 90,Wildfire,10757.0,0.0337,0,,,1.0,4.27,-23.36,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4597411899820180729,2018,45.955,-119.024,LAKE WALLULA,Wildfire,11972.0,0.0406,0,,,1.0,3.31,-25.95,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
WA4597011911020180622,2018,45.985,-119.085,EASTERDAY,Wildfire,1359.0,0.0628,1,1.162,0.0364,1.0,1.39,-25.4,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4548011857620180810,2018,45.47,-118.572,LITTLE RAIL,Wildfire,1027.0,0.0247,0,,,1.0,4.32,-22.05,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4603311692920180809,2018,46.032,-116.912,GOOSE RAPIDS,Wildfire,1220.0,-0.0033,0,,,1.0,4.24,-20.9,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4458311709720180915,2018,44.589,-117.075,MOUNTAIN MAN,Wildfire,1860.0,0.0199,0,,,1.0,6.85,-21.26,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4490011637920180515,2018,44.902,-116.38,UNNAMED,Prescribed Fire,1523.0,0.021,0,,,1.0,15.44,-17.34,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4531411905220180816,2018,45.321,-119.062,ELI CREEK,Wildfire,3504.0,0.0127,0,,,1.0,2.76,-24.39,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4427411715120180716,2018,44.273,-117.147,INDIAN HEAD,Wildfire,1613.0,0.0125,0,,,1.0,5.47,-23.1,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4447411719020180725,2018,44.463,-117.171,ROCK CREEK,Wildfire,1338.0,0.0288,0,,,1.0,4.87,-20.32,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4533411639120180723,2018,45.232,-116.376,RATTLESNAKE CREEK,Wildfire,8461.0,0.1445,1,0.5121,0.0871,2.0,11.29,-15.02,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4451711685020180725,2018,44.464,-116.843,KEITHLY,Wildfire,17588.0,0.0494,0,,,1.0,3.77,-21.87,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4467611644820180726,2018,44.663,-116.35,MESA,Wildfire,34541.0,0.1019,1,0.9598,0.0585,1.0,2.84,-20.33,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4511811697520181030,2018,45.117,-116.975,UNNAMED,Prescribed Fire,1910.0,0.0018,0,,,1.0,8.94,-16.14,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4382511970020181020,2018,43.824,-119.714,UNNAMED,Prescribed Fire,5661.0,-0.0015,0,,,1.0,6.89,-18.24,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4077412213620180201,2018,40.772,-122.15,4/3  GREEN MTN RX,Prescribed Fire,1756.0,0.0591,0,,,1.0,4.96,-14.53,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4192012170520180516,2018,41.924,-121.699,CALKR-FY18-RX-KLB-LOWER KLAMATH HFR-UNITS 11A1 11A2 11C,Prescribed Fire,1023.0,0.034,0,,,1.0,2.46,-22.22,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4421611929720181025,2018,44.212,-119.297,UNNAMED,Prescribed Fire,1762.0,-0.0144,0,,,1.0,11.31,-17.13,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4261612132420180510,2018,42.616,-121.324,UNNAMED,Prescribed Fire,2972.0,0.0419,0,,,1.0,9.7,-20.56,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4441412049420180508,2018,44.393,-120.548,SPEARS RX 0164 PR,Prescribed Fire,1319.0,0.0149,0,,,1.0,8.06,-17.06,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4193212150720180221,2018,41.924,-121.512,CATKR-FY18-RX-KLB-TULE LAKE HFR-SUMP 1A,Prescribed Fire,2270.0,-0.0509,0,,,1.0,2.17,-20.62,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4463911860120181026,2018,44.641,-118.587,UNNAMED,Prescribed Fire,2104.0,-0.0105,0,,,1.0,5.53,-17.91,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3641011873720181004,2018,36.409,-118.733,EDEN,Wildfire,1805.0,0.1031,1,0.1634,0.033,1.0,7.88,-15.73,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3756511912720180611,2018,37.588,-119.163,LIONS,Wildfire,14252.0,0.1127,1,0.5475,0.1116,2.0,11.57,-16.46,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3765211988120180713,2018,37.635,-119.807,FERGUSON,Wildfire,97307.0,0.2362,1,0.7914,0.1008,4.0,14.66,-15.73,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3834911992920180801,2018,38.383,-119.822,DONNELL,Wildfire,36151.0,0.223,1,0.5138,0.0983,5.0,9.66,-16.88,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3839611945120180904,2018,38.386,-119.429,BOOT,Wildfire,6955.0,0.0925,1,0.5906,0.1667,4.0,5.83,-19.68,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4265012082720180815,2018,42.597,-120.743,WATSON CREEK,Wildfire,62162.0,0.1545,1,0.3709,0.0879,5.0,5.47,-18.87,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4139512105720180815,2018,41.425,-121.013,STONE,Wildfire,39455.0,0.0795,1,0.2423,0.0819,1.0,1.61,-19.74,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4063012088020180727,2018,40.627,-120.824,WHALEBACK,Wildfire,18640.0,0.1744,1,0.6441,0.1217,4.0,3.12,-17.61,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3982012144020181108,2018,39.748,-121.565,CAMP,Wildfire,153687.0,0.1547,1,0.5537,0.1049,4.0,8.85,-17.32,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
